寺院名,住所,検索住所,緯度,経度
紫雲院,東京都青梅市成木2丁目559,東京都青梅市成木,35.8268837,139.2400131
東勝寺,神奈川県藤沢市高倉258,神奈川県藤沢市高倉,35.412746,139.4714525
延命寺,東京都板橋区中台3丁目22-18,東京都板橋区中台,35.7703802,139.6799156
メモリアルパーク日高,埼玉県日高市馬引沢166,埼玉県日高市馬引沢,35.8756766,139.369765
本妙寺,熊本県熊本市西区花園4-13-1,熊本県熊本市西区花園,32.8144574,130.7015092
大法院,群馬県館林市上赤生田町4265-1,群馬県館林市上赤生田町,36.2255103,139.5478745
観真寺,愛知県豊橋市仁連木町190,愛知県豊橋市仁連木町,34.7694847,137.4148249
常清寺,熊本県熊本市南区川尻3-4-5,熊本県熊本市南区川尻,32.74371,130.694527
恵光寺,大阪府八尾市萱振町4-1,大阪府八尾市萱振町,34.6311087,135.6067094
長安寺,埼玉県児玉郡上里町三町226,埼玉県児玉郡上里町三町,36.2356026,139.1307521
東光院,埼玉県東松山市高坂926,埼玉県東松山市高坂,36.0027084,139.3977689
徳蔵寺,東京都東村山市諏訪町1丁目26-3,東京都東村山市諏訪町,35.7708311,139.4626755
実相寺,群馬県邑楽郡板倉町板倉1678,群馬県邑楽郡板倉町板倉,36.2223005,139.6130347
本通寺,佐賀県佐賀市高木瀬東3丁目12-25,佐賀県佐賀市高木瀬東,33.283916,130.2975199
妙栄寺,神奈川県横須賀市佐野町2-44,神奈川県横須賀市佐野町,35.2678213,139.6686455
浄林寺,埼玉県羽生市下川崎536,埼玉県羽生市下川崎,36.1385905,139.5445117
萬福寺(大田区),東京都大田区南馬込1−49-1,東京都大田区南馬込,35.5881179,139.7123265
常光寺(館林市),群馬県館林市仲町14-2,群馬県館林市仲町,36.2485651,139.5302856
所沢メモリアルパーク,埼玉県川越市中福907-2,埼玉県川越市中福,35.8698254,139.4727069
報恩寺,福岡県柳川市西魚屋町50,福岡県柳川市西魚屋町,33.168313,130.405221
光厳寺,埼玉県北葛飾郡松伏町大川戸2215-1,埼玉県北葛飾郡松伏町大川戸,35.9414629,139.8180198
本福寺,佐賀県三養基郡基山町大字宮浦2120,佐賀県三養基郡基山町大字宮浦,33.4286084,130.5190623
少林山達磨寺,群馬県高崎市鼻高町296,群馬県高崎市鼻高町,36.323645,138.952495
松竹院,群馬県前橋市本町3丁目17-12,群馬県前橋市本町,36.3902072,139.0694315
寿仙院,東京都台東区西浅草3-28-1,東京都台東区西浅草,35.7144096,139.7903283
東泉寺,栃木県栃木市沼和田町14-36,栃木県栃木市沼和田町,36.3668569,139.7359228
浄久寺,愛知県名古屋市天白区八事山143（旧住所：八事山144）,愛知県名古屋市天白区,35.1800121,136.9254186
千光寺,福岡県久留米市山本町2287,福岡県久留米市山本町,33.304759,130.608015
メモリアルパーク藤岡,群馬県藤岡市藤岡396-1,群馬県藤岡市藤岡,36.239435,139.070946
宝幢院,群馬県伊勢崎市連取元町95-20（旧住所：伊勢崎市連取町1674）,群馬県伊勢崎市連取元町,36.3103703,139.1812634
正光寺,東京都北区岩淵町28-16,東京都北区岩淵町,35.7855026,139.723336
多聞院,東京都新宿区弁天町100,東京都新宿区弁天町,35.7031495,139.7268033
万福寺,千葉県佐倉市吉見510,千葉県佐倉市吉見,35.70615,140.189204
本光寺,千葉県市川市大野町3-1695-1,千葉県市川市大野町,35.7756359,139.9726623
妙正寺,千葉県市川市北方町4-2122,千葉県市川市北方町,35.7371805,139.955745
慈光院,東京都墨田区立花1-29-3,東京都墨田区立花,35.7106072,139.8322279
金剛院(大田区),東京都大田区新蒲田2-3-6,東京都大田区新蒲田,35.5579836,139.7087
寒若寺,佐賀県佐賀市本庄町袋187,佐賀県佐賀市本庄町袋,33.2379287,130.3049506
廣慶寺,東京都町田市三輪町1120,東京都町田市三輪町,35.5746976,139.5004792
専稱寺,埼玉県八潮市南川崎870,埼玉県八潮市南川崎,35.8132544,139.8586929
廣済寺,東京都あきる野市平沢732,東京都あきる野市平沢,35.7321424,139.309798
大乗寺,東京都多摩市和田1505,東京都多摩市和田,35.642935,139.427921
興福寺,東京都八王子市東浅川町754,東京都八王子市東浅川町,35.6452236,139.2923323
宝持院,東京都葛飾区青戸8-18-18,東京都葛飾区青戸,35.7504293,139.8541318
常楽院,東京都立川市富士見町3-12-4,東京都立川市富士見町,35.6960112,139.3990041
妙善寺,東京都港区西麻布3-2-13,東京都港区西麻布,35.6600266,139.7238075
常久寺,東京都府中市若松町5-11-1,東京都府中市若松町,35.6791428,139.5052471
金剛院(豊島区),東京都豊島区長崎1-9-2,東京都豊島区長崎,35.7315657,139.6846593
梅林寺,東京都台東区三ノ輪1-27-3,東京都台東区三ノ輪,35.729566,139.7912727
正覚院,福岡県行橋市馬場420-1,福岡県行橋市馬場,36.6921258,137.2083566
霊山寺,静岡県沼津市本郷町25-37,静岡県沼津市本郷町,35.095159,138.871506
宝泉寺,埼玉県深谷市境220-1,埼玉県深谷市境,36.153304,139.263069
覚応寺,群馬県館林市栄町1-8,群馬県館林市栄町,36.247794,139.5243627
満願寺,東京都足立区栗原3‒6‒6,東京都足立区栗原,35.7829833,139.7876482
勝嚴寺,佐賀県小城市三日月町樋口637,佐賀県小城市三日月町樋口,33.266797,130.2213726
長源院,静岡県静岡市葵区沓谷1-24-1,静岡県静岡市葵区沓谷,34.9808051,138.3905232
大聖院,千葉県佐倉市鏑木町661,千葉県佐倉市鏑木町,35.718416,140.217355
大乗寺,佐賀県唐津市西寺町1387,佐賀県唐津市西寺町,33.4494431,129.9660274
龍泉院,千葉県柏市泉81,千葉県柏市泉,35.8379491,140.0430043
誓欣院,静岡県熱海市上宿町6−3,静岡県熱海市上宿町,35.0982176,139.0706603
円光院,千葉県八千代市大和田785,千葉県八千代市大和田,35.7120744,140.1079464
瑠璃光寺,埼玉県深谷市稲荷町北9-25,埼玉県深谷市稲荷町北,36.203814,139.290486
深廣寺,埼玉県久喜市栗橋東3-7-24,埼玉県久喜市栗橋東,36.1274783,139.7029438
浄土院,神奈川県藤沢市菖蒲沢890,神奈川県藤沢市菖蒲沢,35.398711,139.441176
平等寺,埼玉県戸田市笹目6-5-4,埼玉県戸田市笹目,35.8131586,139.6459682
相頓寺,埼玉県上尾市五番町14−2,埼玉県上尾市五番町,35.9663191,139.6200728
大信寺,埼玉県川口市前上町2-24,埼玉県川口市前上町,35.8345325,139.7148728
勧行寺,神奈川県鎌倉市腰越2-19-15,神奈川県鎌倉市腰越,35.3083817,139.4932077
メモリアルすぎと・用中寺,埼玉県北葛飾郡杉戸町杉戸4丁目10-23,埼玉県北葛飾郡杉戸町杉戸,36.03907,139.727484
眞乗寺,埼玉県さいたま市南区松本1-18-5,埼玉県さいたま市南区松本,35.8320039,139.6317591
一乗院,埼玉県朝霞市膝折町1丁目16-17,埼玉県朝霞市膝折町,35.7786369,139.5903166
高蔵寺,千葉県木更津市矢那1245,千葉県木更津市矢那,35.3425184,139.9746087
